latitude,longitude,Location Type
40.715540160671054,-73.95699024541045,Vacant Building
40.69273192707123,-73.91421184549917,3+ Family Apt. Building
40.630035214420644,-74.07872558134078,1-2 Family Dwelling
40.767548513659584,-73.7901441146268,Other (Explain Below)
40.603244891594855,-74.07633878928134,1-2 Family Dwelling
40.714760186709,-73.95577149783976,3+ Family Apt. Building
40.69727169265625,-73.92180088441404,3+ Family Apt. Building
40.683958195944456,-73.91982621353587,3+ Family Apt. Building
40.68276431095629,-73.91995744768344,3+ Family Apt. Building
40.8100057712217,-73.91658576442471,Vacant Building
40.671701475235494,-73.93518710452706,3+ Family Apt. Building
40.67171793632861,-73.95196079744552,3+ Family Mixed Use Building
40.71735666922133,-73.96341744495874,Construction Site
40.762279249503884,-73.77034271942496,Other (Explain Below)
40.683918724554154,-73.91834076045463,3+ Family Mixed Use Building
40.65463285939558,-73.96249677995594,3+ Family Apt. Building
40.83341421968113,-73.87060116637784,1-2 Family Dwelling
40.83751041723846,-73.86912956562456,1-2 Family Dwelling
40.636587381674715,-73.96734938741795,1-2 Family Dwelling
40.62680796609391,-74.08176228333322,Other (Explain Below)
40.75635541967691,-73.77558250249878,1-2 Family Dwelling
40.67154141173771,-73.95671220080422,1-2 Family Dwelling
40.76219043292514,-73.77122743445445,1-2 Family Dwelling
40.763914261930964,-73.91034779883147,3+ Family Mixed Use Building
40.51334303643152,-74.25058911119245,1-2 Family Dwelling
40.84242380944482,-73.82400410672514,1-2 Family Dwelling
40.784248302006716,-73.97092049330051,3+ Family Mixed Use Building
40.637978136256315,-74.11513349094389,1-2 Family Dwelling
40.763903266111406,-73.9103261541477,3+ Family Apt. Building
40.8079180306558,-73.91797189217512,3+ Family Apt. Building
40.81504251129281,-73.84919918021622,1-2 Family Dwelling
40.675549386979526,-73.93975106570072,3+ Family Apt. Building
40.82309281514946,-73.86239414608237,3+ Family Apt. Building
40.74679158381022,-73.92432679245259,Vacant Building
40.697932321790965,-73.77378845557365,1-2 Family Dwelling
40.767194899997975,-73.91121341496384,Other (Explain Below)
40.66865394325489,-73.95003085412445,3+ Family Apt. Building
40.815864091127295,-73.90722505700127,Other (Explain Below)
40.593146764858346,-74.07210724530012,1-2 Family Dwelling
40.67567975021689,-73.94240432926652,3+ Family Apt. Building
40.69437207678817,-73.91258696792205,Other (Explain Below)
40.676969920976454,-73.93739197668025,3+ Family Apt. Building
40.81195743104421,-73.90952084085652,1-2 Family Dwelling
40.763903266111406,-73.9103261541477,3+ Family Apt. Building
40.674951332432045,-73.94033923699864,3+ Family Apt. Building
40.658998560638,-73.93504806845458,1-2 Family Dwelling
40.68433243857511,-73.93432390496194,3+ Family Apt. Building
40.815864091127295,-73.90722505700127,Other (Explain Below)
40.71735666922133,-73.96341744495874,Construction Site
40.815864091127295,-73.90722505700127,3+ Family Apt. Building
40.79483827635698,-73.97428548083761,Commercial Building
40.84953683663132,-73.88365813538336,3+ Family Apt. Building
40.86871007452637,-73.925236576778,3+ Family Apt. Building
40.815864091127295,-73.90722505700127,Other (Explain Below)
40.62521578093491,-74.1114117963025,1-2 Family Dwelling
40.79933075504134,-73.95445116623793,3+ Family Apt. Building
40.69259822592407,-73.89527302302473,1-2 Family Dwelling
40.68857255947785,-73.95625762665769,3+ Family Apt. Building
40.83599456073869,-73.88653674015755,3+ Family Apt. Building
40.88708343123068,-73.9035596960332,3+ Family Apt. Building
40.80825309967656,-73.95257026717681,Vacant Lot
40.88779432251727,-73.90358036458683,3+ Family Apt. Building
40.793745752456324,-73.93792862098367,3+ Family Apt. Building
40.72817236836039,-73.71155617596989,1-2 Family Dwelling
40.54914196800336,-74.19972075465559,1-2 Family Dwelling
40.854248384756666,-73.90003948073578,3+ Family Apt. Building
40.7143019606004,-74.00509340291153,Commercial Building
40.653510293033264,-73.95498319762591,3+ Family Apt. Building
40.676550615866454,-73.9060633091723,1-2 Family Dwelling
40.80486931643835,-73.95370688858424,3+ Family Apt. Building
40.810775997684885,-73.90800160275734,3+ Family Apt. Building
40.681394040716796,-73.9538502917935,3+ Family Apt. Building
40.76975129073186,-73.9241923969157,3+ Family Apt. Building
40.863107396356284,-73.8900153996217,3+ Family Apt. Building
40.70951069576068,-73.96776814595786,3+ Family Apt. Building
40.70251052876049,-73.95635307232419,Other (Explain Below)
40.884983137457894,-73.89962800267405,1-2 Family Dwelling
40.807129273329735,-73.94965958870036,3+ Family Apt. Building
40.721571590668134,-73.9823587413767,Other (Explain Below)
40.787977010895375,-73.95070687815674,Other (Explain Below)
40.863283705797045,-73.92943281919631,Commercial Building
40.69554676206662,-73.97337534284995,3+ Family Apt. Building
40.66190967364281,-73.99283807177376,Other (Explain Below)
40.72357994016192,-73.97767177089732,Other (Explain Below)
40.82357445683716,-73.94702038772527,3+ Family Apt. Building
40.80137677761102,-73.96586712386897,3+ Family Apt. Building
40.828721470734116,-73.85288278851988,3+ Family Mixed Use Building
40.851635398346986,-73.93945421139999,3+ Family Apt. Building
40.817629379394376,-73.91126173832384,Commercial Building
40.784682185819435,-73.94809853592344,3+ Family Apt. Building
40.669909091849654,-73.95895546157942,3+ Family Apt. Building
40.865893007048705,-73.92796579312878,Other (Explain Below)
40.834287583257066,-73.91560852329934,3+ Family Apt. Building
40.66371218633413,-73.93655015590994,Construction Site
