Tourist_Spot,Address,Zipcode,location,latitude,longitude
Fort Wadsworth,210 New York Avenue Staten Island,10305,"210, Westervelt Avenue, 10301, Westervelt Avenue, New York, New York, United States",40.64281015,-74.08393208899989
Bethesda Terrace/Fountain,Mid-park 72nd Street New York,10021,"Millennium Point, Little West Street, 10280, Little West Street, New York, New York, United States",40.705715600000005,-74.01747509440014
George Washington Bridge,George shington Bridge Manhattan,07024,"George Washington Bridge Bus Station, Fort Washington Avenue, 10040, Fort Washington Avenue, New York, New York, United States",40.84886275,-73.9384167021062
The Public Theate,425 Lafayette Street Manhattan,10003,"Public Theater, 425, Lafayette Street, 10003, Lafayette Street, New York, New York, United States",40.728929050000005,-73.99180466093696
Washington Street between Front and Water Streets,Brooklyn,11205,"DUMBO, 11201-1832, New York, New York, United States",40.7029052,-73.9901167
Brooklyn Bridge Park,334 Furman Street Brooklyn,11201,"Montague Street Tunnel, Furman Street, 11201, Furman Street, New York, New York, United States",40.6969455,-74.0014894
Tompkins Square Park,E 10th Street New York,10009,"4th Avenue, 10th Street, 11215, 10th Street, New York, New York, United States",40.670272,-73.989779
Lincoln Center for the Performing Arts,70 Lincoln Center Plaza Manhattan,10023,"70, Lincoln Center Plaza, 10023, Lincoln Center Plaza, New York, New York, United States",40.7740713,-73.9843705
Belvedere Castle,"Central Park, midpark 79th St Manhattan",10021,"Central Park West & West 79th Street, Central Park West, 10024, Central Park West, New York, New York, United States",40.7808732,-73.9728297
Morris-Jumel Mansion,65 Jumel Terr. Manhattan,10032,"Morris - Jumel Mansion, Jumel Terrace, 10032, Jumel Terrace, New York, NY, United States",40.8344403,-73.9386957
Madame Tussauds New York,234  42nd Street Manhattan,10036,"AMC Empire 25, 234, West 42nd Street, 10036, West 42nd Street, New York, New York, United States",40.75668515,-73.98926649582987
Whitney Museum of American Art,99 Gansevoort Street Manhattan,10014,"Whitney Museum of American Art, 99, Gansevoort Street, 10014, Gansevoort Street, New York, New York, United States",40.73964505,-74.00892095028976
United Palace Theatre,4140 Broadway Manhattan,10033,"4140, Broadway, 10033, Broadway, New York, New York, United States",40.846348,-73.9382109
Bank of America Winter Village at Bryant Park,"Bryant Park, 42nd Street and 6th Avenue Manhattan",10018,"42nd Street–Bryant Park, 6th Avenue, 10019, 6th Avenue, New York, New York, United States",40.754222,-73.9845689
New York City Ballet,"David H. Koch Theater, 20 Lincoln Center Plaza Manhattan",10023,"David H. Koch Theater, 20, Lincoln Center Plaza, 10023, Lincoln Center Plaza, New York, NY, United States",40.771773350000004,-73.98378112246178
Museum of Sex,233 Fifth Avenue Manhattan,10016,"Consulate General of Poland, 233, Madison Avenue, 10016, Madison Avenue, New York, New York, United States",40.74968685,-73.98124167388889
Coney Island,Surf Avenue Brooklyn,11224,"New York Aquarium, Surf Avenue, 11224, Surf Avenue, Brooklyn, NY, United States",40.57433585,-73.97523718007122
Unbreakable Kimmy Schmidt Apartment,74 Freeman Street Brooklyn,11222,"74, Freeman Street, 11222, Freeman Street, New York, New York, United States",40.733945750000004,-73.95897100504868
