,number_of_places_2500m,number_of_places_1000m,number_of_places_500m
29354,1,0,0
29355,4,2,0
29356,1,0,0
29357,1,0,0
29358,46,3,1
29359,9,1,0
29360,7,2,2
29361,0,0,0
29362,1,0,0
29363,49,22,7
29364,9,1,0
29365,67,10,4
29366,9,1,0
29367,4,0,0
29368,1,0,0
29369,8,0,0
29370,64,8,3
29371,3,0,0
29372,5,1,0
29373,4,0,0
29374,0,0,0
29375,1,0,0
29376,5,1,0
29377,0,0,0
29378,73,22,5
29379,75,18,2
29380,4,0,0
29381,1,0,0
29382,0,0,0
29383,12,0,0
29384,55,8,0
29385,11,1,0
29386,4,0,0
29387,13,4,2
29388,8,2,0
29389,2,0,0
29390,34,3,0
29391,9,2,1
29392,25,4,0
29393,8,1,0
29394,0,0,0
29395,2,0,0
29396,6,0,0
29397,66,9,1
29398,10,3,2
29399,11,1,0
29400,26,2,0
29401,58,9,4
29402,50,10,5
29403,7,1,0
29404,6,1,0
29405,11,0,0
29406,13,5,0
29407,0,0,0
29408,62,13,3
29409,11,2,2
29410,11,1,0
29411,0,0,0
29412,0,0,0
29413,68,10,1
29414,21,1,0
29415,58,12,2
29416,4,0,0
29417,0,0,0
29418,9,0,0
29419,68,11,0
29420,12,3,2
29421,0,0,0
29422,9,2,0
29423,36,4,1
29424,11,4,0
29425,22,0,0
29426,2,0,0
29427,57,7,2
29428,75,13,5
29429,1,0,0
29430,1,0,0
29431,23,4,2
29432,4,0,0
29433,2,0,0
29434,1,0,0
29435,10,0,0
29436,12,2,2
29437,0,0,0
29438,4,0,0
29439,4,0,0
29440,0,0,0
29441,0,0,0
29442,1,0,0
29443,11,0,0
29444,1,0,0
29445,61,4,0
29446,52,5,2
29447,9,3,0
29448,1,0,0
29449,47,6,1
29450,0,0,0
29451,25,4,1
29452,48,11,5
29453,12,2,1
29454,7,1,1
29455,0,0,0
29456,24,0,0
29457,1,0,0
29458,1,0,0
29459,61,9,2
29460,4,0,0
29461,65,10,6
29462,6,0,0
29463,14,2,0
29464,54,29,12
29465,8,1,0
29466,36,3,3
29467,4,0,0
29468,3,0,0
29469,1,0,0
29470,65,8,0
29471,60,8,1
29472,26,5,0
29473,51,12,1
29474,38,8,1
29475,1,0,0
29476,2,0,0
29477,4,0,0
29478,47,6,3
29479,1,1,0
29480,39,1,0
29481,73,19,4
29482,61,37,11
29483,25,4,1
29484,1,0,0
29485,5,0,0
29486,69,10,3
29487,13,1,0
29488,8,2,0
29489,56,11,6
29490,1,0,0
29491,1,0,0
29492,11,1,0
29493,4,1,0
29494,66,9,3
29495,1,1,0
29496,0,0,0
29497,1,0,0
29498,29,0,0
29499,28,0,0
29500,0,0,0
29501,11,4,3
29502,6,1,0
29503,24,5,0
29504,10,0,0
29505,1,0,0
29506,6,2,0
29507,1,0,0
29508,8,1,0
29509,35,5,0
29510,0,0,0
29511,4,2,0
29512,0,0,0
29513,1,1,0
29514,4,0,0
29515,6,1,0
29516,23,3,0
29517,4,0,0
29518,0,0,0
29519,73,16,2
29520,1,0,0
29521,76,12,1
29522,40,8,0
29523,55,7,5
29524,8,3,0
29525,1,0,0
29526,13,2,0
29527,66,10,1
29528,52,6,2
29529,1,0,0
29530,1,0,0
29531,7,2,0
29532,0,0,0
29533,12,0,0
29534,0,0,0
29535,17,0,0
29536,0,0,0
29537,73,16,2
29538,1,0,0
29539,8,2,0
29540,1,0,0
29541,49,7,3
29542,3,0,0
29543,16,0,0
29544,2,0,0
29545,6,0,0
29546,1,0,0
29547,14,4,0
29548,10,2,0
29549,0,0,0
29550,9,0,0
29551,9,1,0
29552,63,11,5
29553,3,0,0
29554,17,5,0
29555,5,2,0
29556,0,0,0
29557,31,4,2
29558,2,0,0
29559,3,0,0
29560,11,2,0
29561,1,0,0
29562,53,18,4
29563,0,0,0
29564,8,1,0
29565,59,13,3
29566,0,0,0
29567,11,0,0
29568,1,0,0
29569,1,0,0
29570,67,12,4
29571,11,0,0
29572,3,0,0
29573,0,0,0
29574,6,1,1
29575,13,1,0
29576,17,2,0
29577,1,0,0
29578,28,3,1
29579,7,2,1
29580,63,10,4
29581,11,1,1
29582,5,0,0
29583,56,11,6
29584,1,0,0
29585,1,0,0
29586,0,0,0
29587,16,3,0
29588,80,27,9
29589,61,7,1
29590,1,1,1
29591,11,4,3
29592,65,11,4
29593,0,0,0
29594,16,0,0
29595,69,38,18
29596,0,0,0
29597,2,0,0
29598,66,9,1
29599,0,0,0
29600,6,0,0
29601,0,0,0
29602,1,0,0
29603,40,4,0
29604,1,0,0
29605,0,0,0
29606,16,4,1
29607,16,4,1
29608,62,16,3
29609,1,0,0
29610,3,1,0
29611,69,17,3
29612,67,10,2
29613,0,0,0
29614,57,32,14
29615,1,0,0
29616,24,4,0
29617,0,0,0
29618,9,7,5
29619,13,3,0
29620,2,0,0
29621,12,1,0
29622,45,7,3
29623,5,2,0
29624,45,7,3
29625,11,1,0
29626,11,1,1
29627,11,1,1
29628,53,7,1
29629,70,22,4
29630,1,0,0
29631,9,0,0
29632,9,3,0
29633,55,8,3
29634,49,11,2
29635,1,0,0
29636,13,1,0
29637,0,0,0
29638,1,0,0
29639,5,2,0
29640,2,0,0
29641,5,2,0
29642,1,1,0
29643,11,1,1
29644,3,0,0
29645,11,1,1
29646,11,1,1
29647,12,2,0
29648,15,3,0
29649,7,2,0
29650,2,0,0
29651,27,2,1
29652,0,0,0
29653,2,0,0
29654,6,2,1
29655,2,0,0
29656,7,1,0
29657,11,3,0
29658,22,4,0
29659,10,3,0
29660,1,0,0
29661,18,3,1
29662,1,0,0
29663,0,0,0
29664,9,4,0
29665,6,1,0
29666,1,0,0
29667,11,1,0
29668,73,17,3
29669,1,0,0
29670,0,0,0
29671,7,3,1
29672,61,11,3
29673,1,0,0
29674,2,0,0
29675,19,2,0
29676,11,2,1
29677,0,0,0
29678,1,0,0
29679,0,0,0
29680,9,4,1
29681,8,3,0
29682,36,3,0
29683,1,0,0
29684,13,4,2
29685,13,4,2
29686,66,13,5
29687,58,11,4
29688,73,11,4
29689,0,0,0
29690,8,3,1
29691,6,2,2
29692,1,0,0
29693,6,2,1
29694,3,0,0
29695,4,1,0
29696,5,0,0
29697,24,1,0
29698,3,0,0
29699,58,15,7
29700,51,8,3
29701,2,0,0
29702,8,1,1
29703,0,0,0
29704,18,2,0
29705,1,0,0
29706,8,3,0
29707,62,10,3
29708,25,3,1
29709,7,1,1
29710,34,6,0
29711,4,0,0
29712,18,2,1
29713,34,11,0
29714,1,1,0
29715,5,2,2
29716,35,4,0
29717,3,0,0
29718,70,20,3
29719,0,0,0
29720,74,23,8
29721,1,0,0
29722,66,15,3
29723,1,0,0
29724,1,0,0
29725,1,1,0
29726,64,10,1
29727,0,0,0
29728,64,11,4
29729,43,5,0
29730,8,2,0
29731,11,2,0
29732,59,5,1
29733,0,0,0
29734,12,0,0
29735,16,0,0
29736,30,3,0
29737,16,3,0
29738,4,0,0
29739,8,1,1
29740,1,0,0
29741,72,26,4
29742,1,0,0
29743,20,4,0
29744,31,8,1
29745,0,0,0
29746,1,0,0
29747,18,3,0
29748,6,2,2
29749,63,9,0
29750,2,0,0
29751,7,1,0
29752,0,0,0
29753,0,0,0
29754,71,24,3
29755,21,3,1
29756,20,3,0
29757,1,0,0
29758,1,0,0
29759,58,10,0
29760,67,12,1
29761,0,0,0
29762,4,0,0
29763,74,23,6
29764,67,12,3
29765,1,0,0
29766,0,0,0
29767,38,4,0
29768,7,1,1
29769,74,19,4
29770,6,2,1
29771,9,2,1
29772,1,0,0
29773,0,0,0
29774,7,1,0
29775,11,3,0
29776,0,0,0
29777,63,6,1
29778,7,3,0
29779,7,0,0
29780,10,1,0
29781,32,2,0
29782,0,0,0
29783,4,2,0
29784,1,1,1
29785,8,0,0
29786,1,0,0
29787,9,0,0
29788,3,0,0
29789,11,2,1
29790,10,3,0
29791,72,8,1
29792,7,1,0
29793,0,0,0
29794,1,0,0
29795,10,5,2
29796,55,10,5
29797,6,2,1
29798,0,0,0
29799,8,0,0
29800,1,0,0
29801,5,1,1
29802,71,25,5
29803,10,2,1
29804,0,0,0
29805,0,0,0
29806,5,1,0
29807,1,0,0
29808,0,0,0
29809,0,0,0
29810,72,11,3
29811,17,4,2
29812,1,0,0
29813,34,4,1
29814,2,0,0
29815,60,2,0
29816,67,15,4
29817,18,4,0
29818,7,1,0
29819,11,6,2
29820,2,1,0
29821,52,8,3
29822,7,1,0
29823,40,1,0
29824,68,16,3
29825,49,8,1
29826,18,2,0
29827,12,5,4
29828,0,0,0
29829,13,2,0
29830,0,0,0
29831,65,37,16
29832,32,2,0
29833,52,6,2
29834,0,0,0
29835,6,0,0
29836,4,0,0
29837,9,1,0
29838,1,0,0
29839,62,13,4
29840,1,0,0
29841,2,0,0
29842,6,1,0
29843,0,0,0
29844,8,1,0
29845,1,1,1
29846,0,0,0
29847,35,4,0
29848,0,0,0
29849,29,3,1
29850,0,0,0
29851,64,11,5
29852,10,2,2
29853,2,0,0
29854,4,1,0
29855,2,0,0
29856,6,0,0
29857,66,12,1
29858,2,0,0
29859,37,5,2
29860,34,9,0
29861,20,5,1
29862,71,20,8
29863,2,0,0
29864,12,4,2
29865,20,4,1
29866,1,0,0
29867,20,4,1
29868,20,4,0
29869,2,0,0
29870,17,4,0
29871,22,4,1
29872,20,4,1
29873,1,0,0
29874,47,3,2
29875,6,1,0
29876,3,0,0
29877,1,0,0
29878,1,1,1
29879,9,0,0
29880,1,0,0
29881,1,0,0
29882,28,7,1
29883,1,0,0
29884,1,0,0
29885,9,4,1
29886,0,0,0
29887,8,1,0
29888,2,0,0
29889,10,4,0
29890,4,2,0
29891,8,1,0
29892,7,1,0
29893,10,5,1
29894,31,5,0
29895,1,0,0
29896,23,0,0
29897,1,1,0
29898,2,0,0
29899,48,6,1
29900,2,0,0
29901,14,2,1
29902,1,1,0
29903,0,0,0
29904,1,0,0
29905,11,5,3
29906,4,0,0
29907,11,4,3
29908,0,0,0
29909,16,4,1
29910,6,1,0
29911,2,0,0
29912,2,0,0
29913,41,6,0
29914,1,0,0
29915,5,2,1
29916,21,2,1
29917,1,0,0
29918,49,4,1
29919,58,11,4
29920,11,4,2
29921,66,11,1
29922,13,1,0
29923,68,11,2
29924,1,1,1
29925,68,10,1
29926,50,8,1
29927,1,0,0
29928,1,0,0
29929,5,1,0
29930,53,5,2
29931,8,2,0
29932,16,4,1
29933,2,0,0
29934,2,0,0
29935,68,8,2
29936,71,24,3
29937,29,4,1
29938,8,2,0
29939,0,0,0
29940,1,0,0
29941,50,6,1
29942,10,4,0
29943,2,0,0
29944,2,0,0
29945,12,3,2
29946,2,0,0
29947,9,1,1
29948,0,0,0
29949,1,0,0
29950,0,0,0
29951,60,12,5
29952,8,1,1
29953,5,0,0
29954,8,1,0
29955,6,1,0
29956,0,0,0
29957,21,2,1
29958,59,13,4
29959,0,0,0
29960,6,0,0
29961,21,4,0
29962,8,4,3
29963,8,1,1
29964,1,0,0
29965,62,10,3
29966,73,15,8
29967,61,8,4
29968,1,0,0
29969,22,3,0
29970,71,14,3
29971,4,0,0
29972,14,3,0
29973,0,0,0
29974,13,2,0
29975,10,1,0
29976,7,3,1
29977,2,1,0
29978,15,1,0
29979,77,17,9
29980,68,10,3
29981,79,9,1
29982,0,0,0
29983,7,0,0
29984,33,3,1
29985,0,0,0
29986,16,4,2
29987,1,0,0
29988,6,0,0
29989,2,0,0
29990,0,0,0
29991,12,5,5
29992,61,14,1
29993,65,5,0
29994,68,11,0
29995,4,0,0
29996,5,0,0
29997,5,1,1
29998,12,2,0
29999,1,0,0
30000,27,4,0
30001,7,1,0
30002,7,0,0
30003,2,0,0
30004,68,11,0
30005,0,0,0
30006,28,4,1
30007,57,12,3
30008,0,0,0
30009,25,2,0
30010,0,0,0
30011,4,0,0
30012,5,0,0
30013,0,0,0
30014,6,0,0
30015,0,0,0
30016,23,3,1
30017,62,8,0
30018,5,0,0
30019,19,2,1
30020,4,1,0
30021,13,3,0
30022,65,10,1
30023,1,0,0
30024,69,10,0
30025,73,13,4
30026,3,0,0
30027,5,1,0
30028,8,2,0
30029,1,0,0
30030,54,9,0
30031,7,1,0
30032,25,2,0
30033,8,3,3
30034,8,4,3
30035,8,4,3
30036,8,2,0
30037,31,4,2
30038,5,0,0
30039,24,1,0
30040,76,25,8
30041,13,1,0
30042,64,12,3
30043,0,0,0
30044,54,12,1
30045,12,1,1
30046,0,0,0
30047,0,0,0
30048,23,4,0
30049,13,2,0
30050,5,0,0
30051,9,3,0
30052,5,2,0
30053,1,0,0
30054,8,3,0
30055,9,4,0
30056,0,0,0
30057,4,0,0
30058,0,0,0
30059,6,2,2
30060,9,1,1
30061,1,0,0
30062,73,16,3
30063,27,4,0
30064,4,0,0
30065,0,0,0
30066,13,2,0
30067,28,4,1
30068,1,0,0
30069,1,0,0
30070,26,3,1
30071,25,8,0
30072,8,3,0
30073,1,0,0
30074,1,0,0
30075,2,0,0
30076,0,0,0
30077,9,2,0
30078,1,1,0
30079,9,2,0
30080,41,2,0
30081,0,0,0
30082,1,0,0
30083,5,2,0
30084,51,12,6
30085,74,13,6
30086,14,0,0
30087,0,0,0
30088,8,3,0
30089,12,0,0
30090,64,8,3
30091,2,0,0
30092,18,4,2
30093,1,0,0
30094,9,3,0
30095,70,39,16
30096,61,11,0
30097,10,3,2
30098,22,0,0
30099,68,17,4
30100,4,2,1
30101,6,1,0
30102,7,1,0
30103,6,1,0
30104,48,6,0
30105,4,0,0
30106,23,5,3
30107,72,13,2
30108,0,0,0
30109,11,2,0
30110,1,0,0
30111,5,2,1
30112,0,0,0
30113,63,13,3
30114,7,2,2
30115,1,0,0
30116,8,2,0
30117,18,4,0
30118,6,0,0
30119,73,25,2
30120,0,0,0
30121,11,1,0
30122,7,2,0
30123,0,0,0
30124,6,0,0
30125,0,0,0
30126,1,0,0
30127,29,3,0
30128,2,0,0
30129,73,24,9
30130,5,2,1
30131,11,4,3
30132,0,0,0
30133,0,0,0
30134,33,10,1
30135,2,0,0
30136,2,0,0
30137,12,1,0
30138,68,12,1
30139,72,11,2
30140,13,3,1
30141,66,15,3
30142,4,1,0
30143,19,2,1
30144,6,1,0
30145,0,0,0
30146,0,0,0
30147,5,2,1
30148,61,4,1
30149,11,1,1
30150,53,9,4
30151,1,0,0
30152,12,0,0
30153,0,0,0
30154,3,2,1
30155,5,1,0
30156,12,2,0
30157,73,19,5
30158,72,12,3
30159,12,3,0
30160,73,20,6
30161,12,2,0
30162,14,4,1
30163,1,1,1
30164,3,2,2
30165,57,8,1
30166,5,2,0
30167,2,0,0
30168,1,0,0
30169,2,0,0
30170,0,0,0
30171,1,0,0
30172,14,3,0
30173,3,2,1
30174,3,2,1
30175,55,12,6
30176,2,0,0
30177,8,4,0
30178,0,0,0
30179,7,0,0
30180,1,0,0
30181,5,2,0
30182,1,0,0
30183,11,2,0
30184,71,23,5
30185,0,0,0
30186,53,9,2
30187,74,8,1
30188,8,1,1
30189,9,0,0
30190,1,1,1
30191,1,0,0
30192,51,8,5
30193,9,1,0
30194,0,0,0
30195,1,0,0
30196,1,0,0
30197,14,2,1
30198,7,1,0
30199,10,5,0
30200,6,2,0
30201,7,1,0
30202,2,0,0
30203,63,10,0
30204,9,2,0
30205,56,11,3
30206,1,0,0
30207,11,0,0
30208,41,7,0
30209,4,0,0
30210,9,5,2
30211,3,0,0
30212,10,2,0
30213,0,0,0
30214,11,4,2
30215,7,1,0
30216,1,0,0
30217,16,4,1
30218,8,2,0
30219,5,0,0
30220,59,8,3
30221,0,0,0
30222,19,2,1
30223,53,7,0
30224,12,1,0
30225,10,1,0
30226,73,8,1
30227,18,2,1
30228,1,0,0
30229,1,0,0
30230,1,0,0
30231,4,0,0
30232,55,10,4
30233,64,11,3
30234,2,0,0
30235,72,9,1
30236,2,0,0
30237,1,0,0
30238,65,11,3
30239,9,2,0
30240,63,10,5
30241,59,13,3
30242,12,2,0
30243,6,1,0
30244,13,1,0
30245,35,8,1
30246,1,0,0
30247,1,0,0
30248,11,2,0
30249,65,12,1
30250,1,0,0
30251,5,0,0
30252,3,1,1
30253,1,0,0
30254,1,1,0
30255,0,0,0
30256,0,0,0
30257,0,0,0
30258,8,2,0
30259,17,2,0
30260,0,0,0
30261,71,12,0
30262,54,8,2
30263,64,10,1
30264,5,0,0
30265,1,0,0
30266,0,0,0
30267,0,0,0
30268,6,1,0
30269,74,18,2
30270,70,13,2
30271,2,0,0
30272,23,4,2
30273,14,3,0
30274,44,3,2
30275,5,1,0
30276,1,0,0
30277,18,2,2
30278,73,14,5
30279,8,3,1
30280,11,5,3
30281,20,3,1
30282,37,4,0
30283,5,2,1
30284,0,0,0
30285,17,2,1
30286,0,0,0
30287,17,1,0
30288,9,2,0
30289,2,0,0
30290,56,9,5
30291,2,0,0
30292,2,0,0
30293,0,0,0
30294,4,0,0
30295,11,0,0
30296,11,2,2
30297,0,0,0
30298,5,0,0
30299,15,4,1
30300,69,13,2
30301,47,8,3
30302,1,1,0
30303,55,9,4
30304,35,5,0
30305,66,12,2
30306,1,0,0
30307,6,1,0
30308,64,13,4
30309,9,4,0
30310,0,0,0
30311,4,0,0
30312,0,0,0
30313,0,0,0
30314,4,0,0
30315,4,0,0
30316,4,0,0
30317,4,0,0
30318,4,0,0
30319,0,0,0
30320,2,0,0
30321,60,14,2
30322,65,8,0
30323,12,2,1
30324,0,0,0
30325,7,0,0
30326,6,0,0
30327,6,1,1
30328,0,0,0
30329,8,1,1
30330,1,0,0
30331,1,0,0
30332,74,25,4
30333,48,5,3
30334,0,0,0
30335,12,2,2
30336,33,2,0
30337,2,0,0
30338,10,3,1
30339,1,0,0
30340,12,0,0
30341,60,12,5
30342,73,23,4
30343,5,2,0
30344,12,4,0
30345,49,9,5
30346,12,4,0
30347,18,3,1
30348,10,2,2
30349,4,1,0
30350,5,2,1
30351,0,0,0
30352,10,2,0
30353,23,0,0
30354,4,0,0
30355,25,5,3
30356,1,1,1
30357,7,2,1
30358,38,4,1
30359,38,4,0
30360,3,0,0
30361,66,5,0
30362,1,0,0
30363,4,0,0
30364,1,0,0
30365,1,0,0
30366,17,2,2
30367,51,4,2
30368,67,15,5
30369,71,13,2
30370,65,12,2
30371,6,0,0
30372,8,1,1
30373,11,0,0
30374,1,0,0
30375,1,0,0
30376,70,11,4
30377,73,15,7
30378,5,2,0
30379,1,0,0
30380,1,0,0
30381,64,15,2
30382,64,7,0
30383,18,4,0
30384,3,0,0
30385,0,0,0
30386,2,0,0
30387,74,24,3
30388,76,23,8
30389,1,0,0
30390,63,10,4
30391,18,4,2
30392,0,0,0
30393,18,5,2
30394,10,3,0
30395,28,4,0
30396,11,1,1
30397,0,0,0
30398,0,0,0
30399,1,0,0
30400,5,2,0
30401,0,0,0
30402,2,0,0
30403,56,12,3
30404,62,13,3
30405,2,0,0
30406,11,2,2
30407,1,0,0
30408,64,15,2
30409,5,0,0
30410,1,0,0
30411,2,0,0
30412,52,5,0
30413,1,0,0
30414,1,0,0
30415,0,0,0
30416,5,0,0
30417,10,1,1
30418,1,0,0
30419,22,2,0
30420,1,1,0
30421,2,0,0
30422,74,10,1
30423,17,3,2
30424,31,4,1
30425,4,0,0
30426,22,1,0
30427,4,0,0
30428,5,0,0
30429,0,0,0
30430,9,1,0
30431,6,0,0
30432,23,2,0
30433,2,0,0
30434,9,2,2
30435,5,2,0
30436,56,8,0
30437,63,11,4
30438,2,0,0
30439,2,0,0
30440,21,5,1
30441,65,35,17
30442,20,0,0
30443,8,1,0
30444,12,4,2
30445,2,0,0
30446,55,9,4
30447,0,0,0
30448,14,3,0
30449,72,9,1
30450,15,3,0
30451,11,2,0
30452,7,3,2
30453,9,1,0
30454,62,26,2
30455,1,0,0
30456,1,0,0
30457,12,4,0
30458,69,13,4
30459,2,0,0
30460,11,1,0
30461,1,0,0
30462,1,0,0
30463,17,3,2
30464,51,20,4
30465,0,0,0
30466,11,1,1
30467,59,16,2
30468,20,4,0
30469,60,5,0
30470,21,2,1
30471,20,2,0
30472,4,0,0
30473,71,11,4
30474,73,10,3
30475,55,8,4
30476,1,0,0
30477,16,5,1
30478,1,0,0
30479,33,4,0
30480,8,2,1
30481,5,0,0
30482,68,11,2
30483,2,0,0
30484,13,0,0
30485,1,0,0
30486,1,0,0
30487,9,0,0
30488,37,11,1
30489,1,0,0
30490,61,14,4
30491,8,2,0
30492,5,0,0
30493,33,7,1
30494,1,0,0
30495,0,0,0
30496,58,14,3
30497,17,3,2
30498,72,12,4
30499,67,12,3
30500,8,1,0
30501,0,0,0
30502,38,4,1
30503,1,0,0
30504,0,0,0
30505,2,0,0
30506,9,3,0
30507,10,2,1
30508,68,14,3
30509,6,0,0
30510,15,3,2
30511,36,4,3
30512,12,1,0
30513,0,0,0
30514,11,2,1
30515,1,0,0
30516,3,0,0
30517,12,1,0
30518,3,2,0
30519,1,0,0
30520,0,0,0
30521,2,0,0
30522,4,2,0
30523,74,25,6
30524,74,25,3
30525,74,23,6
30526,76,25,7
30527,74,24,6
30528,75,25,4
30529,76,25,8
30530,76,25,8
30531,76,25,8
30532,75,25,3
30533,74,23,6
30534,74,25,4
30535,74,25,6
30536,74,25,4
30537,74,24,3
30538,75,25,4
30539,19,4,1
30540,77,16,4
30541,12,2,0
30542,3,0,0
30543,16,4,1
30544,3,0,0
30545,1,0,0
30546,5,2,0
30547,2,1,0
30548,16,3,0
30549,6,0,0
30550,6,2,0
30551,56,12,4
30552,55,7,2
30553,75,16,5
30554,10,1,0
30555,64,36,19
30556,1,0,0
30557,75,21,2
30558,3,0,0
30559,0,0,0
30560,14,3,0
30561,62,10,4
30562,0,0,0
30563,0,0,0
30564,11,5,0
30565,13,3,0
30566,68,14,3
30567,0,0,0
30568,0,0,0
30569,71,7,1
30570,3,0,0
30571,7,1,0
30572,1,0,0
30573,7,1,0
30574,77,24,6
30575,6,1,1
30576,11,2,1
30577,67,26,5
30578,11,2,0
30579,10,2,0
30580,67,28,5
30581,48,5,2
30582,1,0,0
30583,4,0,0
30584,9,1,0
30585,74,18,3
30586,8,2,0
30587,3,0,0
30588,4,0,0
30589,67,28,6
30590,10,1,0
30591,8,1,0
30592,34,4,1
30593,68,25,5
30594,70,9,2
30595,4,0,0
30596,61,2,0
30597,13,2,0
30598,9,1,1
30599,4,0,0
30600,54,11,2
30601,14,4,1
30602,29,4,0
30603,1,0,0
30604,9,1,0
30605,1,0,0
30606,1,0,0
30607,5,0,0
30608,1,0,0
30609,5,1,0
30610,7,1,0
30611,6,0,0
30612,14,4,0
30613,1,0,0
30614,3,0,0
30615,11,0,0
30616,0,0,0
30617,27,0,0
30618,16,2,1
30619,8,3,0
30620,55,12,2
30621,3,1,0
30622,52,9,3
30623,5,2,0
30624,58,12,2
30625,4,0,0
30626,74,18,8
30627,1,0,0
30628,11,3,0
30629,9,2,0
30630,1,0,0
30631,44,10,4
30632,65,11,4
30633,1,1,0
30634,68,27,3
30635,68,27,3
30636,64,10,4
30637,3,0,0
30638,1,0,0
30639,72,4,0
30640,77,23,6
30641,64,11,3
30642,27,0,0
30643,9,1,0
30644,2,0,0
30645,8,1,1
30646,2,0,0
30647,5,0,0
30648,0,0,0
30649,7,3,0
30650,8,1,0
30651,19,2,1
30652,68,25,3
30653,0,0,0
30654,3,0,0
30655,6,2,1
30656,69,25,3
30657,16,2,2
30658,67,28,6
30659,2,0,0
30660,61,8,0
30661,7,1,0
30662,1,1,1
30663,16,2,1
30664,0,0,0
30665,10,3,0
30666,10,3,0
30667,0,0,0
30668,60,12,1
30669,3,0,0
30670,4,2,0
30671,61,9,0
30672,1,0,0
30673,13,2,0
30674,14,5,0
30675,0,0,0
30676,48,11,0
30677,1,0,0
30678,74,18,1
30679,8,3,0
30680,67,14,3
30681,63,8,1
30682,0,0,0
30683,2,0,0
30684,49,8,1
30685,13,3,0
30686,1,0,0
30687,5,0,0
30688,3,1,0
30689,5,0,0
30690,3,0,0
30691,4,0,0
30692,5,2,1
30693,5,2,1
30694,5,1,0
30695,72,14,5
30696,12,1,0
30697,11,5,0
30698,12,3,0
30699,0,0,0
30700,37,4,1
30701,12,1,0
30702,8,1,0
30703,31,2,0
30704,2,0,0
30705,0,0,0
30706,16,0,0
30707,3,0,0
30708,11,4,0
30709,67,13,3
30710,73,22,7
30711,68,12,2
30712,75,18,2
30713,40,10,1
30714,2,0,0
30715,4,0,0
30716,6,0,0
30717,4,0,0
30718,7,2,1
30719,0,0,0
30720,1,0,0
30721,3,0,0
30722,3,0,0
30723,71,11,3
30724,26,1,0
30725,5,0,0
30726,7,1,0
30727,0,0,0
30728,49,6,1
30729,16,3,1
30730,2,1,1
30731,13,5,2
30732,10,1,0
30733,51,10,6
30734,0,0,0
30735,11,1,0
30736,63,9,0
30737,9,0,0
30738,1,0,0
30739,0,0,0
30740,70,17,4
30741,13,3,0
30742,4,1,0
30743,5,2,0
30744,19,0,0
30745,77,24,9
30746,70,12,5
30747,36,0,0
30748,13,3,0
30749,4,0,0
30750,62,37,13
30751,11,6,3
30752,18,2,0
30753,0,0,0
30754,0,0,0
30755,3,0,0
30756,1,0,0
30757,2,0,0
30758,21,4,0
30759,5,0,0
30760,4,0,0
30761,41,6,0
30762,5,0,0
30763,0,0,0
30764,2,0,0
30765,1,0,0
30766,4,0,0
30767,0,0,0
30768,1,0,0
30769,53,8,2
30770,18,4,0
30771,2,1,0
30772,4,0,0
30773,67,28,5
30774,1,0,0
30775,67,29,16
30776,11,4,3
30777,68,25,5
30778,8,1,0
30779,66,28,12
30780,2,0,0
30781,2,0,0
30782,1,0,0
30783,1,0,0
30784,19,0,0
30785,2,0,0
30786,5,0,0
30787,0,0,0
30788,1,0,0
30789,7,1,0
30790,69,13,2
30791,19,2,0
30792,1,0,0
30793,1,0,0
30794,2,0,0
30795,61,11,1
30796,59,8,1
30797,0,0,0
30798,67,6,1
30799,68,10,0
30800,1,0,0
30801,19,3,1
30802,1,0,0
30803,70,11,4
30804,8,0,0
30805,1,0,0
30806,72,11,4
30807,1,0,0
30808,72,11,4
30809,72,14,4
30810,75,16,5
30811,12,3,1
30812,67,14,5
30813,63,8,0
30814,71,15,4
30815,13,1,0
30816,70,13,5
30817,0,0,0
30818,21,4,1
30819,4,1,0
30820,25,4,1
30821,5,1,0
30822,1,0,0
30823,11,6,2
30824,19,2,1
30825,1,0,0
30826,10,5,2
30827,72,15,5
30828,0,0,0
30829,0,0,0
30830,26,3,1
30831,0,0,0
30832,0,0,0
30833,8,1,1
30834,8,2,0
30835,7,1,0
30836,7,1,0
30837,0,0,0
30838,9,2,0
30839,4,0,0
30840,4,1,0
30841,4,0,0
30842,68,14,2
30843,5,0,0
30844,8,0,0
30845,26,5,0
30846,6,0,0
30847,1,0,0
30848,1,0,0
30849,30,3,1
30850,0,0,0
30851,0,0,0
30852,40,3,1
30853,1,0,0
30854,23,3,1
30855,42,7,0
30856,10,5,2
30857,1,0,0
30858,23,3,1
30859,6,2,0
30860,0,0,0
30861,13,2,1
30862,38,4,0
30863,5,2,0
30864,51,24,7
30865,1,0,0
30866,2,0,0
30867,9,3,1
30868,1,0,0
30869,1,0,0
30870,1,0,0
30871,38,4,0
30872,1,0,0
30873,48,3,1
30874,19,3,2
30875,0,0,0
30876,6,1,0
30877,4,0,0
30878,19,2,1
30879,18,1,0
30880,54,12,2
30881,2,0,0
30882,0,0,0
30883,64,8,2
30884,0,0,0
30885,13,6,2
30886,4,0,0
30887,55,35,11
30888,18,3,0
30889,2,0,0
30890,0,0,0
30891,11,1,0
30892,11,1,1
30893,0,0,0
30894,12,1,0
30895,13,1,0
30896,7,1,1
30897,13,2,1
30898,1,0,0
30899,4,1,0
30900,0,0,0
30901,0,0,0
30902,1,0,0
30903,9,4,1
30904,73,24,6
30905,11,2,0
