,number_of_places_2500m,number_of_places_1000m,number_of_places_500m
893,49,11,0
894,7,0,0
895,34,9,1
896,3,0,0
897,24,3,1
898,28,5,1
899,12,1,1
900,56,11,2
901,60,6,1
902,75,24,7
903,35,4,0
904,9,2,0
905,2,0,0
906,63,10,4
907,4,1,0
908,6,1,0
909,69,10,0
910,6,2,0
911,13,1,0
912,1,0,0
913,1,0,0
914,1,0,0
915,14,3,0
916,26,0,0
917,68,12,0
918,59,9,5
919,25,3,1
920,65,9,1
921,10,2,0
922,72,14,2
923,8,1,0
924,65,4,2
925,68,19,4
926,3,1,1
927,68,10,4
928,55,9,3
929,33,2,0
930,7,1,0
931,21,4,0
932,9,0,0
933,16,4,0
934,73,16,6
935,5,0,0
936,17,2,2
937,55,8,3
938,41,1,0
939,9,3,0
940,10,2,0
941,66,10,1
942,2,0,0
943,75,20,5
944,17,2,0
945,16,2,2
946,0,0,0
947,21,4,3
948,5,0,0
949,14,5,2
950,4,0,0
951,13,3,0
952,36,0,0
953,7,0,0
954,7,2,2
955,1,0,0
956,0,0,0
957,42,7,1
958,78,18,5
959,20,2,1
960,0,0,0
961,12,3,0
962,12,4,0
963,4,0,0
964,0,0,0
965,2,0,0
966,10,1,0
967,47,5,1
968,73,24,8
969,66,15,5
970,14,3,1
971,12,2,1
972,63,9,0
973,0,0,0
974,1,0,0
975,24,2,0
976,7,1,0
977,71,13,5
978,53,21,7
979,79,12,3
980,7,2,1
981,0,0,0
982,72,16,9
983,13,2,0
984,38,5,3
985,39,4,0
986,12,1,0
987,21,5,0
988,17,0,0
989,58,12,4
990,0,0,0
991,9,4,2
992,19,0,0
993,46,2,1
994,16,2,1
995,13,4,1
996,76,20,6
997,39,1,0
998,7,1,0
999,12,0,0
1000,7,1,0
1001,76,12,1
1002,67,13,4
1003,2,0,0
1004,1,0,0
1005,58,12,5
1006,9,3,0
1007,24,2,0
1008,16,2,2
1009,4,0,0
1010,80,13,3
1011,7,1,0
1012,3,0,0
1013,9,0,0
1014,1,0,0
1015,3,0,0
1016,53,6,1
1017,60,32,6
1018,9,1,1
1019,49,8,1
1020,5,0,0
1021,18,3,0
1022,41,1,0
1023,1,0,0
1024,45,6,2
1025,1,0,0
1026,44,9,0
1027,69,11,0
1028,66,9,0
1029,70,16,5
1030,68,6,2
1031,12,1,0
1032,30,6,0
1033,11,0,0
1034,12,2,2
1035,28,1,0
1036,12,2,1
1037,15,3,0
1038,17,4,1
1039,13,3,1
1040,1,0,0
1041,18,2,2
1042,61,35,7
1043,22,3,1
1044,47,10,6
1045,54,29,14
1046,7,0,0
1047,56,11,2
1048,12,0,0
1049,11,1,0
1050,17,4,2
1051,35,1,0
1052,9,4,1
1053,3,0,0
1054,18,4,0
1055,0,0,0
1056,58,10,0
1057,33,7,0
1058,1,0,0
1059,7,0,0
1060,58,14,3
1061,64,9,1
1062,6,1,0
1063,0,0,0
1064,0,0,0
1065,5,2,1
1066,14,1,1
1067,8,0,0
1068,1,0,0
1069,0,0,0
1070,58,14,3
1071,3,1,0
1072,19,2,1
1073,4,0,0
1074,17,0,0
1075,9,1,1
1076,6,2,0
1077,53,6,2
1078,5,0,0
1079,13,2,1
1080,3,0,0
1081,45,4,1
1082,2,0,0
1083,13,3,0
1084,68,13,0
1085,59,9,1
1086,64,8,4
1087,14,2,1
1088,55,5,4
1089,2,0,0
1090,0,0,0
1091,30,2,1
1092,65,15,3
1093,11,2,0
1094,5,2,0
1095,51,7,2
1096,1,0,0
1097,4,0,0
1098,11,0,0
1099,2,0,0
1100,1,0,0
1101,37,4,1
1102,0,0,0
1103,69,7,2
1104,67,12,5
1105,61,12,5
1106,6,0,0
1107,53,30,13
1108,5,2,1
1109,11,4,0
1110,69,7,2
1111,1,0,0
1112,9,3,0
1113,58,6,0
1114,13,2,0
1115,0,0,0
1116,12,2,0
1117,2,0,0
1118,72,21,3
1119,12,6,2
1120,41,3,0
1121,45,3,0
1122,45,4,0
1123,42,6,0
1124,11,0,0
1125,72,9,1
1126,67,10,4
1127,15,0,0
1128,50,9,5
1129,15,3,1
1130,5,2,2
1131,4,0,0
1132,5,2,1
1133,56,6,0
1134,27,2,0
1135,71,11,0
1136,21,4,0
1137,1,0,0
1138,69,39,17
1139,7,1,0
1140,12,1,1
1141,16,0,0
1142,1,0,0
1143,22,2,0
1144,3,0,0
1145,12,5,0
1146,41,7,0
1147,5,2,0
1148,10,5,2
1149,7,1,0
1150,22,2,0
1151,55,6,1
1152,20,4,1
1153,13,3,1
1154,16,5,0
1155,29,4,0
1156,76,19,2
1157,57,9,4
1158,21,2,0
1159,24,2,0
1160,74,11,2
1161,0,0,0
1162,18,4,0
1163,18,2,0
1164,24,2,0
1165,7,1,0
1166,1,0,0
1167,10,0,0
1168,34,1,0
1169,1,0,0
1170,36,10,1
1171,9,1,0
1172,3,0,0
1173,26,1,0
1174,55,13,6
1175,8,1,0
1176,17,2,0
1177,0,0,0
1178,76,9,2
1179,9,1,0
1180,5,2,0
1181,63,8,4
1182,69,10,3
1183,16,4,1
1184,22,1,0
1185,48,9,2
1186,33,0,0
1187,22,5,1
1188,1,0,0
1189,42,5,0
1190,4,0,0
1191,35,1,0
1192,3,0,0
1193,1,0,0
1194,4,0,0
1195,25,5,4
1196,69,11,3
1197,8,1,0
1198,0,0,0
1199,50,8,2
1200,49,10,3
1201,5,0,0
1202,9,1,1
1203,15,4,2
1204,21,3,1
1205,1,0,0
1206,0,0,0
1207,59,10,3
1208,15,4,2
1209,62,8,0
1210,6,2,2
1211,8,0,0
1212,3,0,0
1213,0,0,0
1214,37,5,1
1215,1,0,0
1216,13,1,0
1217,3,0,0
1218,9,1,0
1219,13,1,0
1220,18,2,0
1221,5,2,0
1222,1,0,0
1223,69,19,3
1224,17,0,0
1225,40,1,0
1226,26,4,1
1227,8,3,3
1228,9,2,1
1229,75,14,3
1230,7,0,0
1231,17,4,1
1232,9,2,0
1233,71,17,5
1234,18,3,0
1235,50,5,1
1236,14,3,0
1237,38,10,1
1238,13,2,1
1239,43,6,2
1240,5,0,0
1241,3,0,0
1242,7,1,0
1243,67,13,3
1244,9,4,2
1245,65,12,4
1246,5,2,0
1247,73,13,3
1248,40,2,0
1249,6,1,0
1250,68,13,1
1251,58,10,0
1252,13,2,0
1253,24,4,0
1254,0,0,0
1255,39,1,0
1256,2,0,0
1257,12,2,1
1258,63,10,0
1259,8,1,1
1260,73,12,4
1261,5,2,1
1262,40,3,0
1263,67,12,2
1264,0,0,0
1265,7,2,2
1266,68,11,3
1267,18,2,1
1268,11,1,1
1269,5,0,0
1270,5,0,0
1271,26,9,3
1272,53,21,7
1273,7,1,1
1274,10,1,1
1275,7,3,0
1276,38,4,0
1277,17,3,0
1278,17,0,0
1279,26,0,0
1280,70,12,3
1281,50,9,3
1282,1,0,0
1283,11,2,0
1284,18,5,3
1285,2,0,0
1286,21,5,1
1287,24,1,0
1288,40,1,0
1289,7,0,0
1290,7,0,0
1291,31,0,0
1292,21,1,0
1293,57,10,5
1294,58,12,5
1295,19,2,0
1296,48,11,5
1297,78,18,5
1298,19,2,1
1299,1,0,0
1300,37,1,0
1301,1,0,0
1302,1,0,0
1303,0,0,0
1304,48,9,2
1305,18,3,3
1306,1,0,0
1307,4,0,0
1308,11,1,1
1309,1,0,0
1310,4,0,0
1311,38,5,3
1312,5,2,0
1313,8,1,1
1314,68,13,2
1315,21,4,0
1316,1,0,0
1317,45,3,0
1318,5,0,0
1319,69,8,2
1320,18,4,0
1321,18,3,0
1322,16,2,2
1323,14,1,0
1324,9,2,2
1325,0,0,0
1326,6,1,0
1327,2,0,0
1328,19,0,0
1329,31,0,0
1330,48,2,0
1331,76,9,2
1332,11,1,0
1333,9,4,1
1334,1,0,0
1335,4,0,0
1336,73,8,2
1337,6,2,2
1338,0,0,0
1339,76,8,0
1340,3,0,0
1341,11,1,1
1342,71,13,3
1343,70,34,15
1344,50,7,4
1345,6,1,0
1346,7,1,0
1347,0,0,0
1348,17,1,1
1349,71,20,4
1350,4,0,0
1351,4,0,0
1352,60,12,3
1353,53,10,5
1354,60,16,2
1355,3,0,0
1356,8,0,0
1357,23,5,3
1358,4,2,0
1359,21,3,0
1360,7,2,2
1361,37,11,1
1362,13,3,1
1363,5,0,0
1364,18,5,2
1365,23,3,1
1366,6,2,0
1367,17,5,3
1368,0,0,0
1369,18,2,0
1370,38,3,1
1371,63,9,0
1372,25,2,0
1373,14,4,0
1374,60,9,6
1375,13,4,0
1376,0,0,0
1377,0,0,0
1378,0,0,0
1379,13,1,0
1380,34,0,0
1381,0,0,0
1382,29,4,0
1383,11,2,1
1384,62,33,5
1385,1,0,0
1386,1,0,0
1387,6,2,1
1388,12,2,0
1389,14,3,0
1390,5,2,0
1391,1,0,0
1392,3,0,0
1393,48,2,0
1394,12,2,0
1395,72,20,5
1396,67,12,4
1397,14,3,0
1398,2,0,0
1399,9,4,0
1400,52,8,1
1401,2,0,0
1402,13,3,0
1403,76,15,4
1404,12,3,1
1405,54,6,0
1406,49,8,1
1407,2,0,0
1408,18,3,0
1409,7,0,0
1410,13,3,0
1411,78,8,0
